marka,seri,model,yıl,km,vites,yakıt,kasa_tipi,motor_hacmi,motor_gücü,çekiş,fiyat
Audi,A4,A4 Sedan 2.0 TDI,2015,51743,Yarı Otomatik,Dizel,Sedan,1968,188,Önden Çekiş,1150000
Audi,A3,A3 Sedan 1.6 TDI Design Line,2017,57269,Yarı Otomatik,Dizel,Sedan,1598,110,Önden Çekiş,725000
Audi,A6,A6 Sedan 2.0 TDI,2012,284000,Otomatik,Dizel,Sedan,1968,177,Önden Çekiş,1150000
Audi,A4,A4 Sedan 1.8 T,1999,283000,Otomatik,LPG & Benzin,Hatchback/5,1700,163,Önden Çekiş,305000
Audi,A6,A6 Sedan 1.8 T,1998,364000,Düz,LPG & Benzin,Sedan,1781,150,Önden Çekiş,235000
Audi,A6,A6 Sedan 2.0 TDI,2015,140000,Yarı Otomatik,Dizel,Sedan,1968,190,Önden Çekiş,1690000
Audi,A6,A6 Sedan 2.0 TFSI Quattro,2017,70000,Yarı Otomatik,Benzin,Sedan,1984,252,4WD (Sürekli),1765000
Audi,A3,A3 Sedan 30 TDI Sport,2019,83000,Yarı Otomatik,Dizel,Sedan,1598,116,Önden Çekiş,830000
Audi,A6,A6 Sedan 1.8 T,2000,435000,Düz,LPG & Benzin,Sedan,1781,150,Önden Çekiş,289000
Audi,A4,A4 Sedan 2.0 TDI Dynamic,2017,106000,Yarı Otomatik,Dizel,Sedan,1968,190,Önden Çekiş,1050000
Audi,A6,A6 Sedan 2.0 TDI Quattro,2016,167000,Yarı Otomatik,Dizel,Sedan,1968,190,4WD (Sürekli),1770000
Audi,A3,A3 Sportback 35 TFSI Sport,2020,46000,Yarı Otomatik,Benzin,Hatchback/5,1498,150,Önden Çekiş,1000000
Audi,A3,A3 Sportback 1.4 TFSI Attraction,2010,95000,Yarı Otomatik,Benzin,Hatchback/5,1390,125,Önden Çekiş,505000
Audi,A4,A4 Sedan 2.0 TDI,2014,270000,Yarı Otomatik,Dizel,Sedan,1968,188,Önden Çekiş,750000
Audi,A3,A3 Sportback 30 TDI Sport,2019,79400,Yarı Otomatik,Dizel,Hatchback/5,1598,116,Önden Çekiş,955000
Audi,A4,A4 Sedan 40 TDI Quattro Advanced,2022,6020,Yarı Otomatik,Dizel,Sedan,1968,204,4WD (Sürekli),2350000
Audi,A4,A4 Sedan 2.0 TDI,2008,210000,Otomatik,Dizel,Sedan,1900,138,Önden Çekiş,505000
Audi,A4,A4 Sedan 1.8 T,1999,283000,Otomatik,LPG & Benzin,Hatchback/5,1700,163,Önden Çekiş,305000
Audi,A6,A6 Sedan 2.8 Quattro,1998,450000,Otomatik,LPG & Benzin,Sedan,2771,193,4WD (Sürekli),280000
Audi,A3,A3 Sedan 1.6 TDI Design Line,2018,140000,Otomatik,Dizel,Sedan,1500,113,Önden Çekiş,759900
Audi,A3,A3 Sportback 1.6 TDI Ambiente,2013,110000,Yarı Otomatik,Dizel,Hatchback/5,1598,105,Önden Çekiş,675000
Audi,A4,A4 Sedan 2.0 TDI Dynamic,2018,128000,Yarı Otomatik,Dizel,Sedan,1968,190,Önden Çekiş,1135000
Audi,A6,A6 Sedan 2.0 TDI,2013,154000,Otomatik,Dizel,Sedan,1968,177,Önden Çekiş,1349750
Audi,A4,A4 Sedan 2.6,1996,190025,Düz,LPG & Benzin,Sedan,2598,150,Önden Çekiş,205000
Audi,A6,A6 Sedan 2.0 TDI,2011,295000,Otomatik,Dizel,Sedan,1968,170,Önden Çekiş,599850
Audi,A3,A3 Sportback 1.6 TDI Attraction,2014,122000,Yarı Otomatik,Dizel,Hatchback/3,1598,110,Önden Çekiş,635000
Audi,A6,A6 Sedan 2.0 TDI,2012,360000,Otomatik,Dizel,Sedan,1900,163,Önden Çekiş,855000
Audi,A3,A3 Cabrio 1.4 TFSI Attraction,2015,165000,Yarı Otomatik,Benzin,-,1395,140,Önden Çekiş,678500
Audi,A5,A5 Coupe 2.0 TFSI Quattro,2011,87000,Yarı Otomatik,Benzin,Coupe,1984,211,4WD (Sürekli),845000
