brand,series,year,km,gear,fuel,body_type,engine_displacement,engine_power,price
1,3,2015,51743,2,2,1,1968,188,1150000
1,2,2017,57269,2,2,1,1598,110,725000
1,5,2012,284000,3,2,1,1968,177,1150000
1,3,1999,283000,3,3,3,1700,163,305000
1,5,1998,364000,1,3,1,1781,150,235000
1,5,2015,140000,2,2,1,1968,190,1690000
1,5,2017,70000,2,1,1,1984,252,1765000
1,2,2019,83000,2,2,1,1598,116,830000
1,5,2000,435000,1,3,1,1781,150,289000
1,3,2017,106000,2,2,1,1968,190,1050000
1,5,2016,167000,2,2,1,1968,190,1770000
1,2,2020,46000,2,1,3,1498,150,1000000
1,2,2010,95000,2,1,3,1390,125,505000
1,3,2014,270000,2,2,1,1968,188,750000
1,2,2019,79400,2,2,3,1598,116,955000
1,3,2022,6020,2,2,1,1968,204,2350000
1,3,2008,210000,3,2,1,1900,138,505000
1,3,1999,283000,3,3,3,1700,163,305000
1,5,1998,450000,3,3,1,2771,193,280000
1,2,2018,140000,3,2,1,1500,113,759900
1,2,2013,110000,2,2,3,1598,105,675000
1,3,2018,128000,2,2,1,1968,190,1135000
1,5,2013,154000,3,2,1,1968,177,1349750
1,3,1996,190025,1,3,1,2598,150,205000
1,5,2011,295000,3,2,1,1968,170,599850
1,2,2014,122000,2,2,6,1598,110,635000
1,5,2012,360000,3,2,1,1900,163,855000
1,2,2015,165000,2,1,3,1395,140,678500
1,4,2011,87000,2,1,5,1984,211,845000
1,2,2015,262000,2,2,1,1598,110,530000
1,1,2011,197000,2,1,6,1390,122,415990
1,5,2009,275000,3,2,1,1968,136,490000
1,4,2015,233000,2,2,3,1968,177,1100000
1,3,2014,203000,3,2,1,1968,177,835000
1,2,2016,166000,2,2,1,1598,110,762000
1,3,2005,350000,1,1,1,1595,102,279500
1,5,2006,179000,1,2,1,1968,140,440000
1,2,2019,73816,2,2,1,1598,116,775000
1,2,2015,143000,2,2,1,1598,110,696000
1,5,2008,215000,3,2,1,1968,136,465000
1,2,2015,145000,2,2,1,1598,110,665000
1,2,2017,118000,2,2,1,1598,116,739750
1,2,2016,152300,2,2,3,1598,110,812000
1,5,2008,294000,3,2,1,1968,140,430000
1,5,2013,192000,1,2,1,1968,177,1215000
1,2,2017,166000,2,2,1,1598,110,728000
1,5,2016,258000,2,2,1,1968,190,1319900
1,3,2012,265000,2,2,1,1968,188,780000
1,4,2014,113000,1,2,3,1968,177,1130000
1,3,2014,318000,3,2,1,1968,150,640000
1,3,2002,209000,1,2,2,1896,130,355000
1,5,2014,261150,3,2,1,1968,177,975000
1,5,2013,213000,3,2,1,1968,177,1175000
1,5,2019,67500,2,2,1,1968,204,2820000
1,5,2014,200000,3,2,1,1968,177,1270000
1,3,2011,331000,3,2,1,1968,143,495000
1,2,2012,130000,2,1,6,1390,125,496000
1,5,2017,106024,2,2,1,1968,190,1890000
1,3,1996,280000,1,3,1,1781,125,190000
1,3,2014,120000,3,2,1,1968,177,790000
1,3,2012,156000,3,2,1,1968,143,735000
1,3,2015,66000,2,1,1,1395,150,830000
1,8,1991,238000,1,3,1,1781,90,195000
1,3,2010,240000,3,1,1,1798,120,405000
1,2,2017,70000,2,2,1,1598,110,927750
1,3,2015,147000,2,1,1,1984,252,955000
1,2,2019,74500,2,2,3,1598,116,940000
1,2,2004,210000,3,1,6,1595,102,292000
1,5,2015,218000,2,2,1,1968,190,1250000
1,3,2016,140000,2,1,1,1984,252,1200000
1,3,2015,219000,3,2,1,1968,150,779000
1,3,2016,198000,2,2,1,1968,190,969000
1,5,2007,284000,3,2,1,1968,140,429000
1,3,2017,242000,2,2,1,1968,190,1190000
1,5,1999,330000,1,3,1,1781,150,235000
1,8,1991,150000,3,1,1,1984,115,400000
1,3,2015,107500,3,2,2,1968,177,775000
1,5,1997,427100,3,1,1,2771,193,306500
1,5,2016,216000,2,2,1,1968,190,1490000
1,3,2008,210000,3,2,1,1900,138,505000
1,2,2008,183500,1,1,6,1390,125,365000
1,2,2004,300000,1,1,6,1984,150,215000
1,3,2014,208000,3,2,1,1968,177,800000
1,3,2013,213000,3,2,1,1968,177,695000
1,2,2001,303000,1,3,3,1595,102,160000
1,3,2009,238000,2,2,1,1968,160,530000
1,2,2006,270000,1,2,6,1968,140,230000
1,5,2009,309000,3,2,1,1968,140,499999
1,2,2011,177000,2,1,6,1595,102,465000
1,4,2012,204000,3,2,3,1968,177,1060000
1,2,2012,70000,2,1,3,1390,125,605000
1,4,2015,115000,3,2,3,1968,177,1249850
1,2,2012,198200,1,1,3,1197,105,362500
1,2,2015,230000,2,2,1,1598,110,600000
1,2,2009,180500,2,3,3,1595,102,470000
1,3,2010,162000,3,1,1,1984,200,565000
1,2,2001,335000,3,3,6,1595,101,185000
1,2,2006,320000,3,3,6,1595,102,295000
1,3,2008,317000,1,1,1,1595,102,385000
1,2,2012,139000,2,2,6,1598,105,515000
1,5,2016,168000,2,2,1,1968,190,1500000
1,2,2010,184000,2,1,3,1390,125,411000
1,3,2008,290000,3,1,1,1798,160,480000
1,2,2015,172000,2,2,1,1598,110,645000
1,2,2014,120000,2,2,1,1598,110,710000
1,3,2013,258000,1,2,1,1968,177,650000
1,5,2004,370000,3,3,1,1781,150,265000
1,8,1991,285000,1,3,1,1781,90,103500
1,7,1996,410000,3,1,1,4172,300,299000
1,5,2008,286000,3,2,1,1968,140,600000
1,2,2017,125000,2,2,1,1598,110,813000
1,3,2015,180000,2,2,1,1968,190,700000
1,4,2011,270000,3,2,3,1968,142,640000
1,2,2013,159000,2,1,1,1395,140,653000
1,2,2015,107000,2,2,3,1598,110,685000
1,2,2016,119000,2,2,3,1598,110,705000
1,2,2015,145000,2,2,1,1598,110,750000
1,2,2016,95000,2,1,3,999,116,760000
